title,artist,path,bpm,energy
Majesty feat. Wasiu,Apashe,media/Majesty feat. Wasiu.mp3,81,0.3
Let's Love,David Guetta,media/Let's Love.mp3,92,0.31
Don't Matter,Derik Fein,media/Don't Matter.mp3,99,0.21
Do Or Die,Axel Johansson,media/Do Or Die.mp3,89,0.26
Skin,Sabrina Carpenter,media/Skin.mp3,108,0.25
A Thousand Ways,Phoebe Ryan,media/A Thousand Ways.mp3,62,0.28
Men On The Moon,Chelsea Cutler,media/Men On The Moon.mp3,161,0.25
Hurricane (Arty Remix),Halsey,media/Hurricane (Arty Remix).mp3,129,0.29
Money,Mia Vaile,media/Mia Vaile - Money (James Mercy Remix).mp3,144,0.34
Unstoppable (Stripped),The Score,media/Unstoppable (Stripped).mp3,78,0.27
Cool Kids,Echosmith,media/Cool Kids.mp3,129,0.23
ME! (feat. Brendon Urie of Panic! At The Disco),Taylor Swift · Brendon Urie,media/ME! (feat. Brendon Urie of Panic! At The Disco).mp3,185,0.28
If We Have Each Other,Alec Benjamin,media/If We Have Each Other.mp3,86,0.28
One Day (feat. ROZES) (Club Mix),Sam Feldt · Yves V · ROZES,media/One Day (feat. ROZES) (Club Mix).mp3,123,0.32
Dancing In My Sleep,Torine,media/Dancing In My Sleep.mp3,144,0.25
Someday,Kygo · Zac Brown,media/Someday (1).mp3,123,0.25
Walk Thru Fire,Vicetone,media/Walk Thru Fire.mp3,117,0.3
Blisters,Dylan,media/Blisters.mp3,172,0.25
Fading,Alle Farben · ILIRA,media/Fading.mp3,123,0.29
Don't Leave Me Now (Extended Mix),Felix de Laet,media/Don't Leave Me Now (Extended Mix).mp3,123,0.28
TiK ToK (feat. Liinii),Olympis · Helion · Liinii,media/TiK ToK (feat. Liinii).mp3,123,0.26
Call on Me (Ryan Riback Remix),Starley · Ryan Riback,media/Call on Me (Ryan Riback Remix).mp3,103,0.26
Man's World,MARINA,media/Man's World.mp3,112,0.29
Happier in Hell,Royal & the Serpent,media/Happier in Hell.mp3,136,0.29
Never forgiving,Emma Steinbakken,media/Never forgiving.mp3,117,0.28
Sun Still Rises,Regina Price,media/Sun Still Rises.mp3,62,0.14
STAR WALKIN' (League of Legends Worlds Anthem),Lil Nas X,media/STAR WALKIN' (League of Legends Worlds Anthem).mp3,144,0.28
MONEY,24,media/MONEY.mp3,136,0.18
Praying To A God (LUKE Remix),Mr. Probz,media/Praying To A God (LUKE Remix).mp3,117,0.29
Summertime Sadness [Lana Del Rey vs. Cedric Gervais] (Cedric Gervais Extended Remix),Lana Del Rey · Cedric Gervais,media/Summertime Sadness [Lana Del Rey vs. Cedric Gervais] (Cedric Gervais Extended Remix).mp3,123,0.22
Wouldn’t Change A Thing,ILLENIUM · Thirty Seconds To Mars,media/Wouldn’t Change A Thing.mp3,161,0.34
I Don't Wanna Talk (I Just Wanna Dance),Glass Animals,media/I Don't Wanna Talk (I Just Wanna Dance).mp3,129,0.31
Captain,Nutcase22,media/Nutcase22 - Captain (Restricted Remix).mp3,144,0.28
Stay The Night,Just Kiddin · Camden Cox,media/Stay The Night.mp3,123,0.25
Sweet Dreams,Vin Jay · Marilyn Manson,media/Sweet Dreams.mp3,86,0.21
Hold It Down,Noah Kahan,media/Hold It Down.mp3,78,0.21
engravings,Ethan Bortnick,media/engravings.mp3,136,0.38
Haunted,Taylor Swift,media/Haunted.mp3,161,0.28
One Life,Mike Perry,media/One Life (1).mp3,129,0.3
Nights with You (Mixed),MØ,media/Nights with You (Mixed).mp3,117,0.17
Take Me,William Black · Matte · RUNN,media/Take Me.mp3,161,0.25
Little Do You Know,Campsite Dream,media/Little Do You Know.mp3,96,0.29
Moskau,Da Tweekaz · Harris & Ford,media/Moskau.mp3,152,0.33
Disconnect (Songer Remix),Becky Hill · Songer,media/Disconnect (Songer Remix).mp3,117,0.37
Your Song,Steve Mac,media/Your Song.mp3,117,0.28
Eu Só Queria Te Amar (Corre),Laís,media/Eu Só Queria Te Amar (Corre).mp3,152,0.22
Summer Air,"Kristian Sandberg, Mathias Metten, Dietmar Pollmann, Hanno Lohse",media/Summer Air.mp3,103,0.27
Snow On The Beach,Taylor Swift · Lana Del Rey,media/Snow On The Beach.mp3,112,0.21
Juice WRLD & Marshmello - Come & Go (Official Music Video),Unknown Artist,media/Juice WRLD & Marshmello - Come & Go (Official Music Video).mp3,144,0.26
Hey Sole Sister,Train,media/Train - Hey Sole Sister (Ryan Hunter KickNBass Bootleg).mp3,129,0.34
One More Round (Free Fire Booyah Day Theme Song),KSHMR · Jeremy Oceans,media/One More Round (Free Fire Booyah Day Theme Song).mp3,123,0.31
Ghost (Lost Kings Remix),Halsey,media/Ghost (Lost Kings Remix).mp3,103,0.27
I Will Let You Down (feat. KLARA),Madison Mars · KLARA,media/I Will Let You Down (feat. KLARA).mp3,129,0.4
MBNN & Rowald Steyn,ilomilo (Billie Eilish),media/MBNN & Rowald Steyn - ilomilo (Billie Eilish).mp3,117,0.26
Sweater Weather,Max Schneider Alyson Stoner  Max Schneider Alyson Stoner,media/Sweater Weather.mp3,123,0.18
